Article identifier,Rumor or Deal Number,Text,Timestamp,Article Header,Rumor or Deal,Target1,Target2,Acquirer1,Acquirer2,Acquirer3,Acquirer4,Bullish/Bearish for the target (0 or 1),Bearish/Bullish for the acquirer (0 or 1),Announcement Date (if different from Article date),Notes
Ze51,3,"Oracle (NYSE: ORCL) announced Thursday, that it has signed an agreement to acquire the provider of cloud-based software that enables marketers to test, target and personalize what a customer sees on a Web page or mobile app, Maxymiser. Terms of the deal were not disclosed.Oracle shares fell more than 2% Thursday, closing at $38.63.Solera Holdings Confirms It's Exploring Strategic Alternatives",8/20/2015 19:07:00,"Benzinga's M&A Chatter for Thursday August 20, 2015",The Deal:,,,ORCL,,,,,,,
Ze51,4,"Solera Holdings, Inc. (NYSE: SLH) announced Thursday, that it is exploring a variety of strategic alternatives, confirming a Wednesday Bloomberg story. Solera's Board of Directors has formed a special committee, which has retained Centerview Partners LLC as its financial advisor and Sullivan & Cromwell as its legal advisor. Solera does not expect to make further public comment during the review process.Solera shares fell 3.72% Thursday, closing at $46.84.Valeant Pharmaceuticals to Acquire Sprout Pharmaceuticals for $1B Cash",8/20/2015 19:07:00,"Benzinga's M&A Chatter for Thursday August 20, 2015",The Rumor:,,,,,,,,,,
Ze51,5,"Valeant Pharmaceuticals International, Inc. (NYSE: VRX) and Sprout Pharmaceuticals, Inc. announced Thursday, that they have entered into a definitive agreement under which a wholly-owned subsidiary of Valeant will acquire Sprout, on a debt-free basis, for approximately $1 billion in cash, plus a share of future profits based upon the achievement of certain milestones. Valeant will pay approximately $500 million at the closing of the transaction, an additional payment in the amount of $500 million, payable in Q1 of 2016, plus a share of future profits based upon the achievement of certain milestones.The acquisition of Sprout comes a day after the company received approval from the FDA on its NDA for flibanserin, its treatement for female sexual desire disorder. Flibanserin will be marketed as Addyi in the U.S. Valeant shares fell 6.55% Thursday, closing at $229.06Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/20/2015 19:07:00,"Benzinga's M&A Chatter for Thursday August 20, 2015",The Deal:,,,,,,,,,,
xS25,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday August 19, 2015:United Therapeutics to Sell Priority Review Voucher to AbbVie for $350M",8/19/2015 18:27:00,"Benzinga's M&A Chatter for Wednesday August 19, 2015",NA,,,,,,,,,,
xS25,1,"United Therapeutics Corporation (NASDAQ: UTHR) announced Wednesday that it has entered into an agreement to sell its Rare Pediatric Disease Priority Review Voucher to a subsidiary of AbbVie Inc. (NYSE: ABBV) for $350 million in cash. The voucher was awarded by the FDA under a provision that encourages development of new drugs and biologics for the prevention and treatment of rare pediatric diseases.United Therapeutics closed at $167.68 on Wednesday, up $0.10.'The Deal' Reports IBM, FireEye May Bid for CyberArk",8/19/2015 18:27:00,"Benzinga's M&A Chatter for Wednesday August 19, 2015",The Deal:,,,,,,,,,,
xS25,2,"CyberArk (NYSE: CYBR) shares rose Wednesday on a report from The Deal that IBM (NYSE: IBM) and FireEye (NASDAQ: FEYE) could each look at CyberArk as a potential takeover target. FireEye has been mentioned as an acquisition target for IBM in the past.CyberArk closed at $61.63 Wednesday, a gain of 3.5%.Suja Juice Announces Minority Investment Deal With The Coca-Cola Company",8/19/2015 18:27:00,"Benzinga's M&A Chatter for Wednesday August 19, 2015",The Rumor:,CYBR,,IBM,FEYE,,,,,,
xS25,3,"Suja Life LLC. announced Wednesday, an investment and distribution partnership with The Coca?Cola Company (NYSE: KO). Sujua says Coca-Cola's minority investment will increase the availability of Suja.The Merchant Banking Division of Goldman Sachs has also made a minority investment in Suja. Bloomberg reported that Coca-Cola is said to have option to acquire Suja as part of the deal.Coca-Cola shares fell 1.26% Wednesday, closing at $40.78.Solera Reportedly Exploring Sale",8/19/2015 18:27:00,"Benzinga's M&A Chatter for Wednesday August 19, 2015",The Deal:,,,,,,,,,,
xS25,4,"Solera Holdings Inc. (NYSE: SLH) has attracted interest from private equity firms and is working with a financial advisor, according to sources as reported by Bloomberg on Wednesday. Solera is said to have approached Pamplona Capital Management and Thoma Bravo.A spokesperson for Thoma Bravo, declined comment. While Solera and Pamplona did not immediately respond to requests for comment, according to Bloomberg. Solera shares rose $0.15 Wednesday, closing at $48.65.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/19/2015 18:27:00,"Benzinga's M&A Chatter for Wednesday August 19, 2015",The Rumor:,SLH,,,,,,,,,
qG62,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Friday August 14 through Sunday August 16, 2015:Wuxi Pharmatech to be Acquired in 'Going Private' Transaction for $46.00/ADS",8/16/2015 19:25:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
qG62,1,"WuXi PharmaTech (Cayman) Inc. (NYSE: WX) announced Friday, that it has entered into a definitive Agreement and Plan of Merger with New WuXi Life Science Limited and WuXi Merger Limited, to be acquired for $46 per ADS, or approximately $3.3 billion in cash.The merger is expected to close during Q4 2015.Wuxi Pharmatech closed at $43.86 on Friday, a gain of 6%.Spectra Energy Bidding for Williams Companies, According to Sources",8/16/2015 19:25:00,Benzinga's Weekend M&A Chatter,The Deal:,WX,,,,,,,,,
qG62,2,"Spectra Energy Corp (NYSE: SE), is attempting to acquire the whole of Williams Companies Inc (NYSE: WMB), according to sources as reported by Reuters on Friday. The sources report that Kinder Morgan Inc (NYSE: KMI) though it might encounter antitrust issues.Initial bids were submitted by potential buyers in late July, with final bids for Williams due the last week of August, say the sources.Williams Companies closed at $52.23 Friday, a gain of 1.77%.Country Style Cooking Reports Prelim. Non-Binding Go Private Offer at $5.23/ADS in CashThe 'Going Private' Offer:Country Style Cooking Restaurant Chain Co., Ltd (NYSE: CCSC) announced Friday, that its Board of Directors has received a non-binding proposal letter, dated August 14, 2015, from Hong Li, Co-Founder and Chairwoman of the Board, Mr. Xingqiang Zhang, Co-Founder, CEO and Director of the Company, and Sky Success Venture Holdings Limited, proposing a ""going-private"" transaction to acquire all of the outstanding ordinary shares of the company not already owned by the potential buyers or their respective affiliates for $5.23 in cash per ADS.The Board has formed a special committee and authorized them to retain independent legal and financial advisors to assist in evaluating the proposal.Country Style Cooking shares rose 7% Friday, closing at $4.71.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/16/2015 19:25:00,Benzinga's Weekend M&A Chatter,The Rumor:,WMB,,SE,,,,,,,
Ws39,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday August 13, 2015:Hearing Unconfirmed Market Chatter of $59.50/Share Offer from Travelers for Hartford Financial",8/13/2015 19:01:00,"Benzinga's M&A Chatter for Thursday August 13, 2015",NA,,,,,,,,,,
Ws39,1,"Shares of The Hartford Financial Services Group, Inc. (NYSE: HIG) surged higher Friday on unconfirmed market chatter of a potential deal with The Travelers Companies, Inc. (NYSE: TRV). Sources say Travelers is in talks to acquire Hartford for $59.50 per share.A Hartford spokesperson declined comment on the rumor. Travelers did not respond to a request for comment.Hartford closed at $49.07 on Thursday, a gain of 3%.Mylan Lowers Acceptance Condition on Perrigo Offer to Greater than 50%The Revised Offer:Mylan N.V. (NYSE: MYL) announced Thursday, that it has formally lowered the acceptance condition for its offer to acquire Perrigo Company plc (NYSE: PRGO) from not less than 80% of Perrigo ordinary shares to greater than 50% of Perrigo ordinary shares.Perrigo responded to the revision, referring to the lowering of tender threshold as ""reckless"" and ""would further dilute an already dilutive transaction.""Mylan has offered $35 billion for Perrigo.Perrigo closed at $192.36 Thursday, a gain of 3%.Roche Acquires GeneWEAVE for $190M Upfront, Up to $235M in Contingent Product-Related Milestones",8/13/2015 19:01:00,"Benzinga's M&A Chatter for Thursday August 13, 2015",The Rumor:,HIG,,TRV,,,,,,,
Ws39,2,"Roche (OTC: RHHBY) announced Thursday, that it has signed a definitive agreement to acquire privately-held GeneWEAVE BioSciences, Inc. for $190 million upfront and up to $235 million in contingent product-related milestones. GeneWEAVE will be integrated into Roche Molecular Diagnostics.GE to Sell U.S. Online Deposit Platform to Goldman Sachs Bank",8/13/2015 19:01:00,"Benzinga's M&A Chatter for Thursday August 13, 2015",The Deal:,,,RHHBY,,,,,,,
Ws39,3,"GE (NYSE: GE) announced Thursday, an agreement to sell GE Capital Bank's U.S. online deposit platform along with all deposits of GE Capital Bank, including online savings accounts, online CDs and brokered CDs, to Goldman Sachs Bank USA (NYSE: GS). Under the agreement, approximately $16 billion of deposits will be transferred to GS Bank. GE closed Thursday at $25.79 a loss of $0.07. Goldman Sachs fell $0.39, closing at $200.74.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/13/2015 19:01:00,"Benzinga's M&A Chatter for Thursday August 13, 2015",The Deal:,,,,,,,,,,
Fk54,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday August 12, 2015:Pearson to Sell 50% Stake in The Economist Group for £469M in Cash",8/12/2015 19:08:00,"Benzinga's M&A Chatter for Wednesday August 12, 2015",NA,,,,,,,,,,
Fk54,1,"EXOR S.p.A. (OTC: EXOSF) has agreed to purchase 27.8% of The Economist Group's Ordinary shares for consideration of £227.5 million and all of the B special shares for consideration of £59.5 million from Pearson (NYSE: PSO). Pearson's remaining Ordinary shares will be repurchased by The Economist Group for a total consideration of £182 million.The transaction is expected to close during the fourth quarter of 2015.Pearson closed at $17.96 on Wednesday, up $0.05.United Online Sells Classmates for $30M in Cash",8/12/2015 19:08:00,"Benzinga's M&A Chatter for Wednesday August 12, 2015",The Deal:,,,EXOSF,,,,,,,
Fk54,2,"United Online, Inc. (NASDAQ: UNTD) announced Wednesday, that it has completed the sale of Classmates to Intelius Holdings, Inc. for $30 million cash, subject to a post-closing working capital adjustment. United Online closed at $12.26 Wednesday, a gain of 2.77%.Markit to Acquire CoreOne Technologies for ~$200M",8/12/2015 19:08:00,"Benzinga's M&A Chatter for Wednesday August 12, 2015",The Deal:,,,,,,,,,,
Fk54,3,"Markit (NASDAQ: MRKT), announced Tuesday, that it has agreed to acquire the provider of regulatory reporting, index management, data management and prime brokerage services to financial institutions, CoreOne Technologies for approximately $200 million. The deal is expected to close in Q4.Markit closed at $28.36 Wednesday, a gain of almost 5%.FIS to Acquire SunGard in Cash, Stock Deal With Enterprise Value of $9.1B",8/12/2015 19:08:00,"Benzinga's M&A Chatter for Wednesday August 12, 2015",The Deal:,,,MRKT,,,,,,,
Fk54,4,"FIS (NYSE: FIS) announced Wednesday, that it has signed a definitive agreement to acquire SunGard for cash and stock, valuing the company at an enterprise value of $9.1 billion, including the assumption of SunGard debt. The deal is expected to close in Q4.FIS shares closed at $70.75 Wednesday, up 8.73%.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/12/2015 19:08:00,"Benzinga's M&A Chatter for Wednesday August 12, 2015",The Deal:,,,FIS,,,,,,,
fy38,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday August 11, 2015:Terex, Konecranes Announce All-Stock Merger",8/11/2015 18:45:00,"Benzinga's M&A Chatter for Tuesday August 11, 2015",NA,,,,,,,,,,
fy38,1,"Terex Corporation (NYSE: TEX) and Konecranes Plc (OTC: KNCRY) announced Tuesday, that their Boards have approved a business combination agreement and merger of equals in an all-stock deal. The deal is expected to close in H1 of 2016. Terex closed at $26.59 on Tuesday, up 22%.Symantec Announces Sale of Veritas to The Carlyle Group for $8B in Cash",8/11/2015 18:45:00,"Benzinga's M&A Chatter for Tuesday August 11, 2015",The Deal:,,,,,,,,,,
fy38,2,"Symantec Corp. (NASDAQ: SYMC) announced Tuesday, that it has agreed to sell Veritas to an investor group led by The Carlyle Group (NASDAQ: CG) and Singapore's sovereign wealth fund, for $8 billion in cash. The deal is expected to close by January 1, 2016.Symantec closed at $21.65 Tuesday, a loss of 5.5%.Sumitomo Life Insurance to Acquire Symetra Financial for $32/Share Cash",8/11/2015 18:45:00,"Benzinga's M&A Chatter for Tuesday August 11, 2015",The Deal:,,,,,,,,,,
fy38,3,"Symetra Financial Corporation (NYSE: SYA) announced Tuesday, that Sumitomo Life will acquire all of the outstanding shares of Symetra for $32.00 per share in cash at closing, plus a previously announced special dividend of $0.50 per share in cash, payable on August 28, 2015 to Symetra shareholders of record as of August 10, 2015. The deal is expected to close late in Q1 or early Q2 of 2016.Symetra Financial closed at $31.56 Tuesday, up 7%.CDK Global Reported to Explore Sale",8/11/2015 18:45:00,"Benzinga's M&A Chatter for Tuesday August 11, 2015",The Deal:,,,SYA,,,,,,,
